net,length_um
net292,131.26µm
net240,131.01µm
net237,130.395µm
clknet_leaf_45_clk,129.805µm
net296,129.78µm
net283,129.75µm
net1317,129.44µm
clknet_leaf_20_clk,129.315µm
net162,128.77µm
net55,128.545µm
clknet_leaf_47_clk,128.45µm
net270,128.425µm
net1138,128.37µm
u_core.u_nec_encoder.frame_word\[23\],128.28µm
net257,128.12µm
net261,128.085µm
net242,127.75µm
net223,127.65µm
u_core.dec_addr_i\[1\],127.34µm
clknet_4_10_0_clk,127.285µm
net321,127.185µm
net246,127.155µm
net23,126.63µm
clknet_leaf_59_clk,126.54µm
net49,126.49µm
net290,126.335µm
_1598_,126.195µm
net130,126.06µm
net116,125.56µm
net222,125.435µm
_1299_,125.43µm
net233,125.06µm
net171,124.9µm
clknet_leaf_31_clk,124.74µm
net123,124.28µm
net278,124.195µm
net328,123.985µm
u_core.mem_wr_data\[13\],123.98µm
u_core.dec_cmd_i\[1\],122.94µm
clknet_leaf_56_clk,122.82µm
u_core.u_nec_decoder.current_state\[1\],122.775µm
net228,122.62µm
net325,122.54µm
net1049,122.085µm
net251,121.725µm
net235,121.71µm
net245,121.52µm
net281,120.685µm
net265,120.585µm
net262,119.575µm
net224,118.865µm
u_core.dec_cmd_i\[7\],118.435µm
net41,118.39µm
net272,117.39µm
net230,117.315µm
clknet_leaf_16_clk,117.225µm
_1697_,117.155µm
clknet_leaf_42_clk,117.08µm
net332,116.965µm
net218,116.73µm
net31,116.43µm
net125,116.21µm
net71,116.09µm
net58,116.01µm
net317,115.985µm
net214,115.91µm
net1133,115.75µm
net253,115.275µm
net232,115.08µm
net73,114.55µm
clknet_leaf_29_clk,113.935µm
net39,113.655µm
_1695_,113.55µm
_1441_,113.475µm
net143,113.16µm
net306,112.58µm
net1426,111.31µm
net26,111.15µm
net324,111.11µm
net275,111.08µm
u_core.u_recorder.word_q\[14\],111.03µm
net298,110.85µm
net69,110.64µm
net318,110.615µm
u_core.u_nec_decoder.cmd\[7\],110.555µm
net56,110.475µm
net241,110.37µm
net284,110.135µm
net1301,109.795µm
u_core.u_nec_encoder.frame_word\[9\],109.285µm
net227,108.49µm
net234,107.87µm
net207,107.76µm
net35,107.685µm
net52,107.6µm
net323,107.48µm
net30,107.19µm
net243,107.025µm
net896,106.98µm
net1028,106.93µm
net551,106.865µm
net277,106.34µm
net226,105.71µm
net24,105.7µm
net221,105.385µm
net302,105.3µm
net266,105.235µm
net215,104.83µm
net178,104.66µm
net211,104.66µm
net309,104.59µm
net33,103.945µm
net247,103.93µm
net305,103.805µm
u_core.mem_wr_data\[20\],103.58µm
_1211_,103.52µm
_1337_,103.29µm
net159,102.845µm
net279,102.81µm
_1298_,102.075µm
net329,102.025µm
net28,101.72µm
net1557,101.46µm
u_core.u_nec_encoder.frame_word\[0\],101.29µm
net204,101.27µm
net225,100.73µm
net220,100.67µm
net1422,100.575µm
net229,100µm
u_core.u_nec_encoder.frame_word\[1\],99.67µm
net244,99.2µm
u_core.u_nec_encoder.frame_word\[13\],98.41µm
_1461_,98.245µm
net268,98.015µm
_1102_,97.885µm
net333,97.51µm
net307,96.97µm
u_core.u_nec_encoder.frame_word\[22\],95.9µm
net124,95.85µm
net1486,94.195µm
net43,93.93µm
net205,93.72µm
u_core.u_output_formatter.uart_tx_req,93.465µm
net40,93.41µm
u_core.dec_addr_i\[0\],93.245µm
_0004_,93.24µm
net554,92.735µm
net57,92.6µm
net1385,92.395µm
u_core.u_nec_encoder.frame_word\[4\],92.06µm
net888,91.185µm
u_core.u_replay_fsm.word_q\[25\],91.065µm
net269,90.875µm
net209,90.52µm
net1532,90.44µm
net263,90.32µm
u_core.u_nec_encoder.frame_word\[5\],90.15µm
net315,89.71µm
net289,89.705µm
net285,89.6µm
net38,89.295µm
u_core.mem_rd_data\[11\],89.215µm
u_core.mem_wr_data\[15\],88.88µm
_1047_,88.57µm
net166,88.565µm
_1523_,88.455µm
net45,88.27µm
net121,88.195µm
net1020,88.15µm
net126,87.85µm
net868,87.825µm
net238,87.785µm
u_core.u_nec_encoder.frame_word\[8\],87.56µm
_1149_,87.43µm
net236,87.295µm
net168,86.97µm
u_core.u_nec_encoder.frame_word\[10\],86.71µm
net299,86.67µm
net216,86.105µm
net1054,85.845µm
u_core.u_nec_encoder.frame_word\[2\],85.51µm
_1694_,85.46µm
_1265_,85.445µm
net1559,85.075µm
net18,84.84µm
net7,84.74µm
u_core.dec_addr_i\[7\],84.07µm
net1456,82.75µm
_1150_,82.495µm
u_core.u_nec_decoder.addr\[1\],81.675µm
u_core.dec_cmd_i\[0\],81.2µm
net11,80.505µm
u_core.pulse_width\[8\],79.935µm
_1692_,79.84µm
net1420,79.15µm
net206,79.025µm
net6,78.96µm
u_core.pulse_level,78.54µm
u_core.pulse_width\[7\],78.525µm
net308,78.505µm
_1656_,78.285µm
net37,78.23µm
net203,78.13µm
net757,77.66µm
net751,77.605µm
net53,77.395µm
net259,77.19µm
net1392,77.175µm
u_core.rep_error,76.99µm
_0837_,76.81µm
net50,76.61µm
net48,76.27µm
net46,76.055µm
u_core.u_pulse_timer.counter\[11\],75.925µm
u_core.u_nec_encoder.us_cnt_q\[8\],75.69µm
u_core.mem_rd_data\[20\],75.43µm
_1033_,74.18µm
u_core.pulse_width\[6\],74.07µm
_1116_,73.8µm
_0810_,73.765µm
_0969_,73.735µm
net5,73.44µm
net47,73.215µm
net70,73.14µm
net1140,72.85µm
_0001_,72.2µm
u_core.u_pulse_timer.counter\[8\],71.885µm
_1445_,71.66µm
net1016,71.625µm
_0813_,71.495µm
net1201,70.81µm
net781,70.375µm
net326,70µm
_0037_,69.75µm
u_core.mem_wr_data\[12\],69.55µm
net334,69.19µm
net322,69.05µm
net169,68.9µm
net25,68.885µm
u_core.pulse_width\[13\],68.38µm
_0787_,67.93µm
_1472_,67.15µm
u_core.pulse_width\[10\],67.09µm
net822,66.91µm
u_core.u_nec_decoder.addr\[3\],66.445µm
net63,66.25µm
u_core.u_nec_decoder.cmd_inv\[7\],66.205µm
u_core.u_nec_decoder.current_state\[0\],66.08µm
_0800_,65.755µm
u_core.u_output_formatter.command_reg\[7\],65.54µm
_0931_,65.41µm
_1469_,65.275µm
net809,65.275µm
net297,65.26µm
_0867_,65.23µm
net280,65.195µm
net719,65.1µm
u_core.u_nec_encoder.frame_word\[14\],65.085µm
_0868_,65.04µm
u_core.u_nec_encoder.bit_idx_q\[1\],65.005µm
net717,64.88µm
_1105_,64.81µm
u_core.mem_rd_data\[9\],64.4µm
net264,64.345µm
_1308_,64.19µm
u_core.u_nec_decoder.cmd\[6\],64.055µm
u_core.mem_wr_data\[11\],63.98µm
net276,63.865µm
_0842_,63.79µm
_0077_,63.715µm
u_core.u_nec_encoder.frame_word\[21\],63.475µm
u_core.u_nec_encoder.bit_idx_q\[0\],63.42µm
net895,63.31µm
net3,63.07µm
_1005_,62.955µm
_0881_,62.9µm
_1468_,62.86µm
u_core.u_nec_decoder.addr\[7\],62.305µm
u_core.u_nec_encoder.frame_word\[6\],62.22µm
net120,62.12µm
_1459_,62.05µm
u_core.u_pulse_timer.counter\[0\],62.005µm
net170,61.865µm
net1578,61.68µm
_1475_,61.63µm
u_core.mem_wr_data\[17\],61.57µm
net1494,61.53µm
u_core.u_uart_tx.state\[2\],61.04µm
