net,length_um
net1035,25.165µm
u_core.u_recorder.wait_cnt_q\[9\],25.15µm
_1138_,25.14µm
_1977_,25.125µm
net718,25.12µm
_0087_,25.095µm
_1397_,25.09µm
u_core.u_storage_bram.mem\[0\]\[9\],25.09µm
u_core.u_storage_bram.mem\[1\]\[23\],25.09µm
u_core.led_uart_cnt_q\[1\],25.065µm
net749,25.04µm
u_core.hb_counter_q\[16\],25.02µm
net1608,25µm
net773,24.985µm
u_core.led_err_cnt_q\[18\],24.87µm
_1368_,24.86µm
_0916_,24.85µm
u_core.hb_counter_q\[10\],24.825µm
_1199_,24.79µm
net1414,24.755µm
u_core.enc_payload\[19\],24.685µm
u_core.led_ok_cnt_q\[16\],24.67µm
u_core.u_nec_decoder.current_state\[2\],24.55µm
u_core.led_ok_cnt_q\[15\],24.5µm
net546,24.5µm
net1065,24.5µm
_0828_,24.49µm
_1115_,24.49µm
net1545,24.475µm
_1533_,24.385µm
_1847_,24.36µm
net1508,24.325µm
_0891_,24.32µm
u_core.hb_counter_q\[12\],24.265µm
u_core.led_uart_cnt_q\[12\],24.18µm
_1025_,24.14µm
_1030_,24.12µm
_1563_,24.07µm
u_core.u_ir_tx.div_cnt_q\[2\],24.06µm
net793,24.02µm
u_core.u_replay_fsm.replay_req_q,24.01µm
_1912_,24µm
_1140_,23.92µm
_0932_,23.85µm
_0873_,23.84µm
net635,23.83µm
net1366,23.79µm
_1572_,23.78µm
u_core.u_nec_encoder.frame_word\[3\],23.76µm
u_core.u_nec_encoder.frame_word\[16\],23.755µm
net1091,23.72µm
_1190_,23.71µm
u_core.led_err_cnt_q\[1\],23.705µm
_1319_,23.7µm
net694,23.65µm
_0864_,23.64µm
_1342_,23.62µm
_1992_,23.565µm
net775,23.545µm
net789,23.47µm
_0468_,23.41µm
_1173_,23.41µm
_1333_,23.4µm
net690,23.4µm
u_core.u_uart_tx.baud_cnt\[1\],23.38µm
net833,23.34µm
net737,23.29µm
_1566_,23.28µm
net972,23.265µm
u_core.u_recorder.wait_cnt_q\[11\],23.17µm
u_core.u_storage_bram.mem\[1\]\[15\],23.17µm
_0970_,23.13µm
net1645,23.11µm
net707,23.065µm
u_core.u_storage_bram.mem\[2\]\[16\],23.04µm
_1876_,22.99µm
u_core.u_recorder.wait_cnt_q\[1\],22.98µm
_1392_,22.93µm
net1029,22.93µm
net1441,22.925µm
slot_sel[0],22.88µm
u_core.led_uart_cnt_q\[16\],22.87µm
_1207_,22.8µm
_0783_,22.77µm
_1579_,22.76µm
_1669_,22.74µm
_0926_,22.69µm
net1469,22.69µm
_0968_,22.62µm
u_core.u_storage_bram.mem\[5\]\[17\],22.62µm
net569,22.62µm
u_core.u_storage_bram.mem\[6\]\[14\],22.585µm
_1354_,22.57µm
net1361,22.52µm
_0843_,22.51µm
_0988_,22.39µm
_1274_,22.39µm
net926,22.39µm
_0896_,22.38µm
net1586,22.34µm
_1276_,22.32µm
net712,22.22µm
u_core.u_storage_bram.mem\[3\]\[14\],22.21µm
_0923_,22.14µm
_1602_,22.14µm
_1620_,22.105µm
_0734_,22.1µm
_1645_,22.1µm
u_core.enc_payload\[9\],22.09µm
_1045_,22.08µm
net710,22.04µm
net1101,22.04µm
_0977_,22.03µm
u_core.u_uart_tx.baud_cnt\[7\],21.98µm
_1012_,21.97µm
net893,21.97µm
net1512,21.96µm
net1014,21.945µm
_1004_,21.9µm
net848,21.87µm
net853,21.86µm
net856,21.86µm
net871,21.86µm
u_core.u_recorder.wait_cnt_q\[2\],21.745µm
_0898_,21.725µm
u_core.pulse_width\[15\],21.7µm
_1358_,21.66µm
_0959_,21.61µm
_0081_,21.56µm
net873,21.56µm
u_core.u_storage_bram.mem\[3\]\[23\],21.545µm
_0850_,21.54µm
u_core.u_replay_fsm.state_q\[2\],21.535µm
u_core.enc_payload\[13\],21.49µm
u_core.tick_cnt_q\[1\],21.49µm
u_core.u_uart_tx.baud_cnt\[4\],21.48µm
_0883_,21.43µm
_0934_,21.43µm
net1631,21.42µm
net1527,21.4µm
net552,21.37µm
busy,21.365µm
_1803_,21.36µm
net807,21.26µm
u_core.u_storage_bram.mem\[5\]\[20\],21.25µm
net1643,21.25µm
net1400,21.245µm
_0211_,21.18µm
net1136,21.175µm
_1646_,21.155µm
_1029_,21.15µm
u_core.u_recorder.wait_cnt_q\[5\],21.145µm
u_core.u_storage_bram.mem\[4\]\[1\],21.145µm
_1649_,21.14µm
net1675,21.105µm
_0090_,21.07µm
u_core.u_storage_bram.mem\[3\]\[20\],21.07µm
_0924_,21.06µm
_1756_,21.06µm
_1009_,21.045µm
u_core.u_nec_encoder.frame_word\[12\],21.01µm
_1701_,21µm
net600,20.96µm
_0086_,20.95µm
net1626,20.935µm
_1232_,20.88µm
_1310_,20.875µm
u_core.u_storage_bram.mem\[5\]\[10\],20.835µm
u_core.u_storage_bram.mem\[2\]\[24\],20.83µm
u_core.u_nec_decoder.since_valid_cnt\[13\],20.82µm
u_core.u_recorder.wait_cnt_q\[21\],20.815µm
_0870_,20.795µm
_1527_,20.785µm
_1373_,20.78µm
_1719_,20.76µm
_0796_,20.74µm
u_core.u_storage_bram.mem\[2\]\[3\],20.73µm
error,20.73µm
u_core.led_ok_cnt_q\[0\],20.7µm
_0892_,20.68µm
net1482,20.675µm
_0731_,20.65µm
_1360_,20.65µm
u_core.u_uart_tx.baud_cnt\[6\],20.65µm
_1941_,20.59µm
u_core.u_storage_bram.mem\[5\]\[19\],20.59µm
net1391,20.59µm
_0115_,20.58µm
_1485_,20.58µm
net1249,20.58µm
_1343_,20.565µm
net777,20.53µm
net1610,20.53µm
net974,20.475µm
u_core.u_nec_encoder.frame_word\[18\],20.47µm
net721,20.47µm
_1824_,20.465µm
u_core.u_nec_decoder.since_valid_cnt\[1\],20.41µm
ld1,20.36µm
net1160,20.36µm
u_core.u_storage_bram.mem\[2\]\[13\],20.35µm
_1747_,20.34µm
_1705_,20.335µm
net903,20.31µm
u_core.enc_payload\[23\],20.3µm
_1166_,20.29µm
u_core.led_err_cnt_q\[11\],20.29µm
net803,20.29µm
net1371,20.29µm
net1303,20.285µm
record_req,20.24µm
replay_req,20.24µm
slot_sel[2],20.24µm
u_core.led_ok_cnt_q\[14\],20.22µm
u_core.u_storage_bram.mem\[1\]\[20\],20.22µm
net1403,20.19µm
_1122_,20.18µm
_1144_,20.18µm
net1304,20.17µm
_0735_,20.165µm
u_core.u_recorder.state_q\[2\],20.16µm
_1596_,20.1µm
_1891_,20.1µm
_0801_,20.025µm
net8,19.99µm
net1674,19.99µm
net1132,19.95µm
_1394_,19.93µm
_1683_,19.93µm
net1564,19.93µm
net1571,19.92µm
u_core.hb_counter_q\[4\],19.86µm
u_core.u_storage_bram.mem\[1\]\[24\],19.86µm
_1094_,19.84µm
u_core.u_storage_bram.mem\[0\]\[13\],19.81µm
u_core.u_storage_bram.mem\[0\]\[8\],19.81µm
u_core.u_storage_bram.mem\[6\]\[20\],19.81µm
net947,19.81µm
net992,19.81µm
u_core.u_storage_bram.mem\[0\]\[2\],19.75µm
_1657_,19.74µm
u_core.u_storage_bram.mem\[4\]\[21\],19.715µm
net1077,19.715µm
u_core.u_storage_bram.mem\[7\]\[5\],19.705µm
u_core.u_storage_bram.mem\[7\]\[6\],19.705µm
_1341_,19.695µm
u_core.u_storage_bram.mem\[0\]\[24\],19.68µm
net840,19.64µm
u_core.u_storage_bram.mem\[0\]\[17\],19.635µm
net816,19.615µm
net1294,19.605µm
_1070_,19.595µm
u_core.u_nec_encoder.frame_word\[11\],19.57µm
_1027_,19.565µm
_1398_,19.56µm
_1760_,19.56µm
u_core.replay_fire,19.56µm
net1365,19.56µm
net1198,19.51µm
_0820_,19.505µm
_1188_,19.5µm
_0953_,19.46µm
u_core.edge_fall,19.46µm
_2001_,19.45µm
u_core.u_output_formatter.byte_idx\[0\],19.45µm
u_core.u_output_formatter.state\[2\],19.45µm
net637,19.45µm
net1125,19.45µm
net447,19.44µm
u_core.u_storage_bram.mem\[0\]\[3\],19.44µm
net1580,19.425µm
net1243,19.415µm
rec_done,19.4µm
net1463,19.38µm
u_core.u_storage_bram.mem\[5\]\[12\],19.33µm
net639,19.33µm
net797,19.33µm
_1998_,19.32µm
slot_sel[1],19.28µm
net770,19.245µm
u_core.u_storage_bram.mem\[2\]\[14\],19.15µm
_0941_,19.09µm
u_core.u_storage_bram.mem\[3\]\[13\],19.065µm
u_core.u_recorder.wait_cnt_q\[4\],19.005µm
_1575_,18.97µm
u_core.u_storage_bram.mem\[0\]\[1\],18.97µm
net652,18.97µm
net1041,18.97µm
net1588,18.96µm
_1797_,18.91µm
net1172,18.91µm
_1679_,18.9µm
u_core.u_storage_bram.mem\[3\]\[19\],18.87µm
net645,18.865µm
net1432,18.865µm
_1034_,18.86µm
_1135_,18.84µm
net1654,18.81µm
_0844_,18.73µm
_2015_,18.73µm
net389,18.73µm
net1012,18.73µm
_1152_,18.72µm
_1766_,18.66µm
_2026_,18.66µm
u_core.u_output_formatter.byte_idx\[3\],18.645µm
u_core.u_storage_bram.mem\[4\]\[10\],18.6µm
net1307,18.57µm
u_core.u_uart_tx.bit_idx\[2\],18.55µm
u_core.u_storage_bram.mem\[2\]\[11\],18.54µm
net1345,18.505µm
u_core.led_err_cnt_q\[12\],18.5µm
u_core.u_storage_bram.mem\[7\]\[7\],18.5µm
_1481_,18.49µm
u_core.u_nec_encoder.us_cnt_q\[0\],18.49µm
net610,18.445µm
u_core.edge_rise,18.44µm
ld2,18.44µm
ld3,18.44µm
ld4,18.44µm
ld5,18.44µm
u_core.u_storage_bram.mem\[1\]\[21\],18.42µm
_1118_,18.395µm
net562,18.395µm
_0653_,18.37µm
net830,18.37µm
u_core.u_storage_bram.mem\[4\]\[24\],18.36µm
ir_in,18.36µm
_1733_,18.31µm
net1552,18.31µm
u_core.u_storage_bram.mem\[2\]\[6\],18.265µm
net1373,18.26µm
_0073_,18.25µm
u_core.u_storage_bram.mem\[1\]\[7\],18.225µm
u_core.u_storage_bram.mem\[3\]\[16\],18.19µm
_0960_,18.18µm
_1954_,18.18µm
u_core.u_storage_bram.mem\[4\]\[20\],18.135µm
net612,18.115µm
net605,18.105µm
_0546_,18.07µm
u_core.u_storage_bram.mem\[2\]\[19\],18.07µm
u_core.u_storage_bram.mem\[2\]\[18\],18.06µm
u_core.u_storage_bram.mem\[2\]\[9\],18.06µm
net787,18.025µm
_1326_,18.01µm
u_core.u_storage_bram.mem\[0\]\[22\],18.01µm
_1068_,18.005µm
u_core.u_storage_bram.mem\[2\]\[1\],18µm
_0722_,17.985µm
_0884_,17.96µm
_1791_,17.95µm
u_core.u_storage_bram.mem\[4\]\[23\],17.905µm
net730,17.905µm
_1043_,17.9µm
u_core.led_err_cnt_q\[17\],17.89µm
u_core.u_storage_bram.mem\[5\]\[11\],17.89µm
net643,17.89µm
u_core.u_uart_tx.baud_cnt\[8\],17.87µm
_1212_,17.86µm
_1042_,17.84µm
_0791_,17.83µm
_0720_,17.82µm
_0809_,17.82µm
_0088_,17.785µm
u_core.u_output_formatter.address_reg\[3\],17.78µm
_1291_,17.76µm
net555,17.76µm
net941,17.76µm
net1447,17.72µm
u_core.u_storage_bram.mem\[3\]\[3\],17.71µm
_0717_,17.7µm
u_core.u_storage_bram.mem\[2\]\[21\],17.695µm
net1583,17.685µm
u_core.u_storage_bram.mem\[2\]\[22\],17.665µm
u_core.u_storage_bram.mem\[0\]\[21\],17.655µm
_1926_,17.65µm
net1669,17.65µm
_0402_,17.64µm
_1278_,17.64µm
_1287_,17.64µm
_1761_,17.64µm
u_core.u_storage_bram.mem\[0\]\[5\],17.635µm
_0673_,17.61µm
u_core.u_storage_bram.mem\[5\]\[1\],17.59µm
net1555,17.59µm
u_core.pulse_width\[0\],17.54µm
u_core.u_storage_bram.mem\[1\]\[4\],17.54µm
_1339_,17.53µm
net933,17.53µm
_1062_,17.52µm
_1828_,17.52µm
_1051_,17.515µm
net587,17.485µm
u_core.u_storage_bram.mem\[2\]\[20\],17.47µm
u_core.u_storage_bram.mem\[6\]\[6\],17.42µm
u_core.led_uart_cnt_q\[18\],17.41µm
_1321_,17.4µm
u_core.u_storage_bram.mem\[1\]\[1\],17.35µm
net621,17.35µm
_1167_,17.34µm
net397,17.325µm
_0905_,17.26µm
_1732_,17.255µm
_0840_,17.23µm
u_core.mem_wr_data\[0\],17.23µm
u_core.u_storage_bram.mem\[6\]\[21\],17.23µm
net1210,17.23µm
_0010_,17.22µm
_0992_,17.22µm
_0909_,17.195µm
net733,17.195µm
_0779_,17.18µm
_1539_,17.175µm
_1146_,17.17µm
net1200,17.17µm
net1237,17.17µm
net658,17.12µm
_1720_,17.1µm
_1849_,17.1µm
_1107_,17.05µm
_1371_,17.05µm
_1727_,17.05µm
_1793_,17.04µm
_1863_,17.04µm
_0879_,17.035µm
_0888_,16.995µm
_1556_,16.99µm
_1583_,16.99µm
_1752_,16.99µm
net16,16.98µm
_1741_,16.975µm
_0733_,16.94µm
_1739_,16.94µm
_0326_,16.93µm
_0716_,16.93µm
_1148_,16.93µm
u_core.u_storage_bram.mem\[0\]\[10\],16.93µm
u_core.u_storage_bram.mem\[6\]\[0\],16.93µm
_2007_,16.92µm
net1547,16.87µm
_0925_,16.81µm
_1217_,16.81µm
u_core.u_storage_bram.mem\[3\]\[7\],16.785µm
u_core.u_storage_bram.mem\[3\]\[9\],16.75µm
u_core.u_storage_bram.mem\[6\]\[22\],16.75µm
net1475,16.75µm
_1737_,16.74µm
_1191_,16.715µm
_1076_,16.68µm
_1218_,16.68µm
_1681_,16.68µm
net857,16.675µm
_1560_,16.63µm
u_core.led_err_cnt_q\[5\],16.63µm
net648,16.63µm
net1196,16.63µm
net1222,16.63µm
_1724_,16.6µm
net542,16.58µm
net881,16.58µm
_1037_,16.57µm
u_core.u_storage_bram.mem\[4\]\[0\],16.57µm
net1006,16.57µm
_0903_,16.56µm
_1817_,16.56µm
u_core.u_nec_decoder.bit_counter\[5\],16.56µm
u_core.led_err_cnt_q\[4\],16.51µm
net745,16.465µm
_0863_,16.45µm
_1099_,16.45µm
_1823_,16.45µm
net1183,16.45µm
net523,16.44µm
_1831_,16.425µm
net1349,16.41µm
_0540_,16.39µm
_0727_,16.39µm
u_core.u_storage_bram.mem\[4\]\[18\],16.39µm
u_core.u_storage_bram.mem\[4\]\[9\],16.39µm
u_core.u_nec_decoder.since_valid_cnt\[6\],16.38µm
u_core.u_storage_bram.mem\[3\]\[24\],16.38µm
_1540_,16.35µm
u_core.u_storage_bram.mem\[4\]\[12\],16.345µm
u_core.u_storage_bram.mem\[6\]\[10\],16.345µm
_0825_,16.33µm
u_core.u_storage_bram.mem\[1\]\[11\],16.33µm
u_core.u_storage_bram.mem\[7\]\[10\],16.33µm
_1214_,16.32µm
_1015_,16.315µm
_1714_,16.29µm
_0972_,16.27µm
net687,16.26µm
net1008,16.26µm
_1448_,16.225µm
_0069_,16.21µm
_0651_,16.21µm
_1919_,16.21µm
_1985_,16.2µm
_0973_,16.15µm
u_core.u_storage_bram.mem\[3\]\[6\],16.15µm
net1192,16.15µm
u_core.mem_wr_addr\[0\],16.145µm
_0005_,16.14µm
net1253,16.14µm
_0753_,16.13µm
net1409,16.09µm
_0164_,16.08µm
_0239_,16.08µm
_0316_,16.08µm
_1970_,16.08µm
net515,16.08µm
net1591,16.08µm
net1661,16.065µm
_1101_,16.04µm
_1659_,16.03µm
u_core.u_storage_bram.mem\[5\]\[22\],16.02µm
net1406,15.99µm
u_core.u_nec_decoder.wait_for_space,15.98µm
net728,15.98µm
_1054_,15.97µm
_1812_,15.97µm
u_core.u_storage_bram.mem\[5\]\[7\],15.97µm
u_core.u_storage_bram.mem\[6\]\[8\],15.97µm
_1395_,15.96µm
_1500_,15.96µm
u_core.u_storage_bram.mem\[1\]\[0\],15.96µm
net799,15.945µm
_1170_,15.92µm
u_core.u_storage_bram.mem\[5\]\[15\],15.91µm
net663,15.91µm
net1609,15.9µm
_1087_,15.89µm
net734,15.875µm
net674,15.87µm
u_core.u_storage_bram.mem\[5\]\[23\],15.86µm
net811,15.86µm
_0737_,15.85µm
net935,15.85µm
net559,15.84µm
net1086,15.825µm
_0078_,15.79µm
u_core.u_uart_tx.shift_reg\[0\],15.79µm
net731,15.79µm
net1272,15.79µm
_1142_,15.78µm
_1896_,15.78µm
net914,15.78µm
net954,15.78µm
net1577,15.745µm
_1535_,15.73µm
net469,15.73µm
net1175,15.73µm
net1199,15.73µm
_1736_,15.72µm
net510,15.72µm
net1517,15.715µm
u_core.u_nec_decoder.cmd_inv\[2\],15.69µm
u_core.u_recorder.wait_cnt_q\[8\],15.68µm
_1245_,15.66µm
net1452,15.655µm
net1531,15.655µm
net566,15.62µm
_1528_,15.61µm
_1955_,15.61µm
u_core.enc_payload\[10\],15.61µm
net1234,15.61µm
net1288,15.61µm
u_core.u_pulse_timer.counter\[17\],15.605µm
_1902_,15.6µm
net424,15.6µm
u_core.u_nec_decoder.addr_inv\[2\],15.6µm
net1602,15.595µm
net907,15.56µm
_0291_,15.54µm
net1218,15.525µm
u_core.u_recorder.wait_cnt_q\[14\],15.5µm
net1590,15.5µm
_0147_,15.49µm
net528,15.49µm
u_core.u_storage_bram.mem\[1\]\[13\],15.43µm
_1515_,15.39µm
u_core.led_ok_cnt_q\[12\],15.385µm
_1594_,15.37µm
net665,15.36µm
u_core.u_storage_bram.mem\[5\]\[3\],15.355µm
_0838_,15.345µm
net698,15.33µm
_1989_,15.325µm
u_core.u_storage_bram.mem\[7\]\[1\],15.32µm
net913,15.32µm
u_core.u_storage_bram.mem\[3\]\[1\],15.31µm
u_core.u_storage_bram.mem\[6\]\[11\],15.31µm
_0950_,15.28µm
_1479_,15.25µm
_1809_,15.25µm
u_core.u_storage_bram.mem\[3\]\[21\],15.25µm
net1176,15.25µm
net1190,15.25µm
net1496,15.25µm
net19,15.24µm
u_core.u_storage_bram.mem\[3\]\[0\],15.2µm
_0650_,15.19µm
_0830_,15.19µm
net1147,15.19µm
net1642,15.18µm
u_core.pulse_width\[16\],15.175µm
net1367,15.175µm
_0049_,15.145µm
_1643_,15.14µm
_0182_,15.13µm
_1463_,15.13µm
net422,15.13µm
u_core.u_uart_tx.baud_cnt\[9\],15.13µm
net656,15.13µm
net1387,15.13µm
net1492,15.13µm
_1315_,15.125µm
_0185_,15.12µm
net355,15.12µm
net365,15.12µm
net514,15.12µm
net558,15.09µm
_0994_,15.07µm
_1991_,15.07µm
_2011_,15.07µm
u_core.u_pulse_timer.counter\[10\],15.07µm
_1201_,15.06µm
u_core.u_storage_bram.mem\[6\]\[19\],15.025µm
net411,15.01µm
_1787_,14.985µm
net623,14.94µm
_0278_,14.9µm
_1347_,14.9µm
net762,14.89µm
net1479,14.89µm
net1188,14.88µm
_0784_,14.865µm
_1366_,14.83µm
_1703_,14.83µm
u_core.hb_counter_q\[3\],14.83µm
net976,14.83µm
net1032,14.83µm
net1159,14.83µm
net1185,14.83µm
net1348,14.83µm
_0085_,14.82µm
_1453_,14.82µm
_0729_,14.805µm
_1775_,14.77µm
u_core.enc_payload\[14\],14.77µm
u_core.u_storage_bram.mem\[3\]\[18\],14.77µm
net1078,14.77µm
net1139,14.77µm
net1407,14.77µm
_1952_,14.76µm
net441,14.76µm
_0781_,14.755µm
net791,14.72µm
_0654_,14.71µm
_1653_,14.71µm
_0453_,14.7µm
_1176_,14.7µm
_1689_,14.7µm
net575,14.695µm
_0774_,14.65µm
_0099_,14.64µm
net403,14.64µm
_1130_,14.61µm
_0329_,14.59µm
_0333_,14.59µm
_1506_,14.59µm
u_core.u_storage_bram.mem\[7\]\[12\],14.58µm
u_core.u_nec_decoder.addr_inv\[4\],14.55µm
u_core.u_storage_bram.mem\[3\]\[12\],14.545µm
net1411,14.54µm
net1542,14.54µm
_1494_,14.52µm
net860,14.52µm
u_core.u_storage_bram.mem\[6\]\[15\],14.475µm
net945,14.44µm
_1562_,14.425µm
net1464,14.425µm
_0585_,14.41µm
net931,14.41µm
net1525,14.41µm
_1067_,14.4µm
u_core.u_storage_bram.mem\[3\]\[2\],14.35µm
net862,14.35µm
net1031,14.35µm
net1064,14.35µm
net1073,14.35µm
net1129,14.35µm
net1457,14.35µm
_0723_,14.34µm
_1384_,14.34µm
u_core.u_storage_bram.mem\[5\]\[16\],14.34µm
u_core.u_storage_bram.mem\[7\]\[15\],14.335µm
_0855_,14.325µm
_1318_,14.31µm
net631,14.31µm
_0055_,14.29µm
u_core.enc_payload\[21\],14.29µm
u_core.u_storage_bram.mem\[6\]\[12\],14.29µm
net1163,14.29µm
_0541_,14.28µm
_1439_,14.28µm
net516,14.28µm
u_core.u_storage_bram.mem\[4\]\[8\],14.275µm
_1780_,14.25µm
_1743_,14.23µm
_1853_,14.23µm
u_core.u_storage_bram.mem\[1\]\[19\],14.23µm
_1661_,14.22µm
net1037,14.215µm
net1231,14.185µm
_0418_,14.17µm
_1433_,14.17µm
_0913_,14.16µm
_1221_,14.16µm
_1892_,14.16µm
net360,14.16µm
net473,14.16µm
u_core.u_storage_bram.mem\[7\]\[3\],14.15µm
net1053,14.13µm
net1103,14.13µm
u_core.u_storage_bram.mem\[4\]\[3\],14.11µm
_1036_,14.075µm
net633,14.07µm
u_core.u_storage_bram.mem\[0\]\[0\],13.99µm
net866,13.98µm
net875,13.98µm
net1056,13.98µm
net1058,13.98µm
net1241,13.94µm
_0816_,13.93µm
u_core.u_storage_bram.mem\[7\]\[9\],13.93µm
net855,13.93µm
net861,13.93µm
u_core.u_uart_tx.baud_cnt\[0\],13.92µm
net1167,13.92µm
u_core.u_storage_bram.mem\[0\]\[7\],13.905µm
net1173,13.89µm
_0568_,13.87µm
_0584_,13.87µm
net1039,13.87µm
net1072,13.87µm
net1166,13.87µm
_0598_,13.86µm
u_core.u_storage_bram.mem\[7\]\[2\],13.86µm
_0664_,13.84µm
_1357_,13.825µm
u_core.u_storage_bram.mem\[4\]\[14\],13.825µm
_0039_,13.81µm
_0738_,13.81µm
_1028_,13.81µm
_1393_,13.81µm
_1449_,13.81µm
net2,13.81µm
net1621,13.81µm
net1438,13.805µm
_1605_,13.795µm
_1634_,13.75µm
net679,13.75µm
_1455_,13.705µm
net589,13.705µm
_0676_,13.7µm
_1545_,13.7µm
_1713_,13.7µm
u_core.u_storage_bram.mem\[2\]\[15\],13.7µm
u_core.u_storage_bram.mem\[5\]\[24\],13.7µm
_1402_,13.69µm
_2002_,13.69µm
net352,13.69µm
u_core.u_storage_bram.mem\[2\]\[8\],13.69µm
_0144_,13.68µm
_1834_,13.68µm
net405,13.68µm
net484,13.68µm
net506,13.68µm
_0771_,13.65µm
_1465_,13.65µm
_1577_,13.62µm
_1273_,13.57µm
_2010_,13.57µm
u_core.u_uart_tx.shift_reg\[4\],13.555µm
net1500,13.545µm
u_core.u_storage_bram.mem\[0\]\[11\],13.52µm
_0214_,13.51µm
_1544_,13.5µm
net815,13.5µm
_1557_,13.45µm
u_core.mem_rd_addr\[1\],13.45µm
net813,13.45µm
net984,13.45µm
net1070,13.45µm
_1185_,13.44µm
net1082,13.44µm
net1164,13.44µm
_0552_,13.39µm
_0976_,13.39µm
_1499_,13.39µm
u_core.u_storage_bram.mem\[2\]\[5\],13.39µm
u_core.u_storage_bram.mem\[7\]\[0\],13.39µm
net894,13.39µm
net1120,13.39µm
net1673,13.39µm
_0556_,13.38µm
_1923_,13.38µm
u_core.u_storage_bram.mem\[3\]\[15\],13.38µm
net800,13.38µm
_0566_,13.33µm
_1174_,13.33µm
_1768_,13.33µm
_1869_,13.33µm
net363,13.33µm
net1328,13.33µm
net1352,13.33µm
net351,13.32µm
net428,13.32µm
net536,13.32µm
u_core.u_storage_bram.mem\[2\]\[0\],13.32µm
net567,13.32µm
net618,13.32µm
net660,13.32µm
u_core.led_err_cnt_q\[15\],13.315µm
net571,13.28µm
_0942_,13.27µm
_1765_,13.27µm
u_core.u_storage_bram.mem\[1\]\[12\],13.27µm
_0143_,13.26µm
_1607_,13.26µm
_1841_,13.26µm
u_core.hb_counter_q\[20\],13.26µm
_0665_,13.2µm
_1804_,13.2µm
net346,13.2µm
net375,13.2µm
net532,13.2µm
u_core.led_ok_cnt_q\[11\],13.195µm
u_core.u_storage_bram.mem\[2\]\[2\],13.16µm
_0630_,13.155µm
_1779_,13.15µm
_1979_,13.15µm
_1161_,13.14µm
_1460_,13.14µm
u_core.u_storage_bram.mem\[1\]\[22\],13.14µm
net1530,13.105µm
_0121_,13.09µm
_0202_,13.09µm
_0271_,13.09µm
_0277_,13.09µm
_0542_,13.09µm
_0563_,13.09µm
_0899_,13.09µm
net509,13.09µm
net537,13.08µm
net726,13.055µm
net1520,13.03µm
_1914_,12.97µm
_1976_,12.97µm
u_core.mem_wr_data\[22\],12.97µm
_0448_,12.96µm
_1050_,12.96µm
_1874_,12.96µm
u_core.u_storage_bram.mem\[2\]\[7\],12.96µm
_0412_,12.91µm
net924,12.91µm
net991,12.91µm
net1534,12.91µm
net1679,12.91µm
_0011_,12.9µm
_1095_,12.9µm
u_core.led_err_cnt_q\[0\],12.9µm
_0486_,12.85µm
_1108_,12.85µm
_1865_,12.85µm
_1967_,12.85µm
net1278,12.85µm
net374,12.84µm
net390,12.84µm
net456,12.84µm
net475,12.84µm
net487,12.84µm
net1518,12.84µm
_1044_,12.835µm
net1116,12.79µm
_0072_,12.78µm
_0466_,12.78µm
_0321_,12.765µm
u_core.u_storage_bram.mem\[3\]\[22\],12.765µm
_0414_,12.73µm
_1286_,12.73µm
_1521_,12.73µm
_1604_,12.73µm
_1913_,12.73µm
u_core.u_storage_bram.mem\[4\]\[15\],12.73µm
_0213_,12.72µm
_0235_,12.72µm
_0249_,12.72µm
_0258_,12.72µm
_1074_,12.72µm
_1860_,12.72µm
_1907_,12.72µm
net409,12.72µm
net460,12.72µm
u_core.u_replay_fsm.word_q\[11\],12.72µm
u_core.u_storage_bram.mem\[5\]\[5\],12.72µm
_1329_,12.71µm
net1567,12.67µm
_1638_,12.64µm
_0911_,12.61µm
_0951_,12.61µm
net378,12.61µm
_0020_,12.6µm
net1068,12.6µm
net1146,12.585µm
net1224,12.54µm
_1783_,12.49µm
_0027_,12.48µm
_0672_,12.48µm
_0724_,12.48µm
_1098_,12.48µm
_1225_,12.48µm
net1273,12.48µm
net1459,12.48µm
_0725_,12.43µm
u_core.u_storage_bram.mem\[4\]\[17\],12.43µm
net908,12.43µm
net1088,12.43µm
_1352_,12.42µm
net666,12.42µm
u_core.led_uart_cnt_q\[19\],12.38µm
_0000_,12.37µm
_0910_,12.37µm
_1344_,12.37µm
_1790_,12.37µm
_1835_,12.37µm
net492,12.37µm
u_core.u_storage_bram.mem\[4\]\[6\],12.37µm
net910,12.37µm
_1673_,12.36µm
net386,12.36µm
net494,12.36µm
net497,12.36µm
net520,12.36µm
_1381_,12.355µm
_1728_,12.355µm
u_core.u_storage_bram.mem\[5\]\[0\],12.355µm
u_core.mem_rd_valid,12.345µm
net1466,12.325µm
u_core.u_storage_bram.mem\[3\]\[11\],12.32µm
net573,12.32µm
u_core.u_recorder.wait_cnt_q\[12\],12.31µm
_0156_,12.3µm
_0811_,12.26µm
_1158_,12.25µm
_1209_,12.25µm
_1252_,12.25µm
_1401_,12.25µm
_1830_,12.25µm
_0116_,12.24µm
_1055_,12.24µm
_1840_,12.24µm
_1983_,12.24µm
net340,12.24µm
net347,12.24µm
net356,12.24µm
net361,12.24µm
net387,12.24µm
net458,12.24µm
net488,12.24µm
net527,12.24µm
_1369_,12.2µm
u_core.u_storage_bram.mem\[2\]\[23\],12.18µm
_0833_,12.14µm
_0177_,12.13µm
_0989_,12.13µm
net485,12.13µm
u_core.u_storage_bram.mem\[1\]\[14\],12.105µm
net615,12.075µm
